Product ID,Product Name,Category,Warehouse,Location,Quantity,Price,Supplier,Status,Last Restocked
1102, gadget y ,ELECTRONICS,Warehouse 2,Aisle 1,300,9.99,Supplier C,In Stock,NaN
1435, gadget y ,ELECTRONICS,Warehouse 2,Aisle 4,two hundred,19.99,Supplier C,Out of Stock,NaN
1860, widget a ,CLOTHING,Warehouse 2,Aisle 3,100,19.99,Supplier B,In Stock,20/12/2022
1270, gadget z ,TOYS,Warehouse 2,Aisle 4,50,49.99,Supplier B,In Stock,20/12/2022
1106, widget a ,FURNITURE,Warehouse 3,Aisle 3,two hundred,9.99,Supplier D,Out of Stock,25/04/2023
1071, widget b ,CLOTHING,Warehouse 3,Aisle 5,300,NaN,Supplier A,In Stock,20/12/2022
1700, widget a ,CLOTHING,Warehouse 2,Aisle 2,two hundred,49.99,Supplier B,In Stock,20/12/2022
1020, widget c ,CLOTHING,Warehouse 1,Aisle 5,two hundred,9.99,Supplier D,Out of Stock,20/12/2022
1614, gadget y ,ELECTRONICS,Warehouse 3,Aisle 3,300,9.99,Supplier B,Out of Stock,05/03/2023
1121, widget b ,TOYS,Warehouse 1,Aisle 2,50,19.99,Supplier C,Out of Stock,20/12/2022
1466, widget a ,CLOTHING,Warehouse 3,Aisle 1,NaN,49.99,Supplier B,In Stock,15/01/2023
1214, gadget z ,FURNITURE,Warehouse 2,Aisle 1,50,9.99,Supplier A,Low Stock,15/01/2023
1330, widget c ,TOYS,Warehouse 3,Aisle 4,150,9.99,Supplier B,In Stock,25/04/2023
1458, widget c ,FURNITURE,Warehouse 2,Aisle 3,300,49.99,Supplier A,Low Stock,05/03/2023
1087, widget a ,TOYS,Warehouse 3,Aisle 3,50,NaN,Supplier C,Out of Stock,15/01/2023
1372, gadget y ,FURNITURE,Warehouse 2,Aisle 1,two hundred,49.99,Supplier A,Low Stock,05/03/2023
1099, widget a ,ELECTRONICS,Warehouse 2,Aisle 5,300,49.99,Supplier B,Out of Stock,05/03/2023
1871, widget b ,CLOTHING,Warehouse 2,Aisle 2,100,NaN,Supplier D,Out of Stock,25/04/2023
1663, widget a ,FURNITURE,Warehouse 2,Aisle 5,50,49.99,Supplier C,Low Stock,05/03/2023
1130, widget c ,TOYS,Warehouse 1,Aisle 5,300,9.99,Supplier B,Out of Stock,20/12/2022
1661, widget a ,CLOTHING,Warehouse 2,Aisle 1,50,49.99,Supplier C,Low Stock,05/03/2023
1308, gadget y ,CLOTHING,Warehouse 1,Aisle 1,300,NaN,Supplier C,Out of Stock,25/04/2023
1769, gadget z ,TOYS,Warehouse 1,Aisle 1,two hundred,29.99,Supplier B,In Stock,25/04/2023
1343, gadget x ,FURNITURE,Warehouse 2,Aisle 4,100,49.99,Supplier B,In Stock,25/04/2023
1491, widget a ,ELECTRONICS,Warehouse 1,Aisle 5,100,19.99,Supplier D,Out of Stock,15/01/2023
1413, gadget y ,ELECTRONICS,Warehouse 3,Aisle 3,150,9.99,Supplier C,Out of Stock,20/12/2022
1805, gadget y ,FURNITURE,Warehouse 2,Aisle 2,300,9.99,Supplier C,Low Stock,15/01/2023
1385, gadget z ,CLOTHING,Warehouse 1,Aisle 4,50,19.99,Supplier B,In Stock,NaN
1191, widget c ,CLOTHING,Warehouse 2,Aisle 3,100,19.99,Supplier A,Low Stock,20/12/2022
1955, gadget y ,CLOTHING,Warehouse 2,Aisle 5,100,49.99,Supplier B,Out of Stock,05/03/2023
1276, gadget y ,CLOTHING,Warehouse 2,Aisle 1,NaN,19.99,Supplier C,Out of Stock,25/04/2023
1160, gadget y ,FURNITURE,Warehouse 1,Aisle 5,NaN,29.99,Supplier B,Low Stock,NaN
1459, gadget y ,CLOTHING,Warehouse 3,Aisle 2,100,NaN,Supplier D,Out of Stock,20/12/2022
1313, widget b ,TOYS,Warehouse 3,Aisle 4,300,19.99,Supplier A,In Stock,15/01/2023
1021, widget b ,CLOTHING,Warehouse 1,Aisle 4,150,19.99,Supplier B,Low Stock,25/04/2023
1252, widget c ,ELECTRONICS,Warehouse 2,Aisle 2,100,29.99,Supplier D,In Stock,15/01/2023
1747, widget a ,CLOTHING,Warehouse 1,Aisle 3,two hundred,9.99,Supplier C,In Stock,20/12/2022
1856, gadget y ,FURNITURE,Warehouse 1,Aisle 3,50,9.99,Supplier B,In Stock,20/12/2022
1560, gadget z ,ELECTRONICS,Warehouse 1,Aisle 4,150,49.99,Supplier C,Low Stock,NaN
1474, widget a ,FURNITURE,Warehouse 2,Aisle 4,two hundred,29.99,Supplier D,Out of Stock,05/03/2023
1058, gadget z ,FURNITURE,Warehouse 1,Aisle 1,150,NaN,Supplier C,In Stock,15/01/2023
1510, widget a ,ELECTRONICS,Warehouse 2,Aisle 3,two hundred,NaN,Supplier D,In Stock,NaN
1681, widget c ,FURNITURE,Warehouse 1,Aisle 2,50,29.99,Supplier D,In Stock,25/04/2023
1475, gadget y ,FURNITURE,Warehouse 3,Aisle 3,50,NaN,Supplier D,Out of Stock,05/03/2023
1699, gadget y ,CLOTHING,Warehouse 1,Aisle 1,NaN,9.99,Supplier B,Out of Stock,NaN
1975, gadget x ,TOYS,Warehouse 1,Aisle 4,300,NaN,Supplier C,Low Stock,15/01/2023
1782, gadget z ,FURNITURE,Warehouse 3,Aisle 4,two hundred,NaN,Supplier C,Out of Stock,20/12/2022
1189, widget a ,FURNITURE,Warehouse 2,Aisle 1,NaN,29.99,Supplier A,Low Stock,25/04/2023
1957, widget a ,FURNITURE,Warehouse 2,Aisle 2,two hundred,29.99,Supplier A,Low Stock,15/01/2023
1686, widget b ,CLOTHING,Warehouse 1,Aisle 4,NaN,NaN,Supplier A,Low Stock,05/03/2023
1957, gadget x ,TOYS,Warehouse 3,Aisle 5,50,19.99,Supplier A,Low Stock,05/03/2023
1562, widget b ,ELECTRONICS,Warehouse 2,Aisle 4,150,29.99,Supplier C,Low Stock,20/12/2022
1875, widget b ,CLOTHING,Warehouse 1,Aisle 5,NaN,49.99,Supplier D,In Stock,20/12/2022
1566, widget b ,CLOTHING,Warehouse 3,Aisle 1,two hundred,49.99,Supplier D,Out of Stock,25/04/2023
1243, gadget z ,TOYS,Warehouse 2,Aisle 1,two hundred,9.99,Supplier B,In Stock,25/04/2023
1831, gadget z ,TOYS,Warehouse 2,Aisle 4,300,NaN,Supplier D,Low Stock,20/12/2022
1504, widget c ,CLOTHING,Warehouse 3,Aisle 3,50,19.99,Supplier C,Out of Stock,20/12/2022
1130, widget c ,ELECTRONICS,Warehouse 3,Aisle 5,two hundred,9.99,Supplier C,In Stock,05/03/2023
1484, widget b ,CLOTHING,Warehouse 3,Aisle 2,100,NaN,Supplier C,In Stock,20/12/2022
1818, gadget x ,TOYS,Warehouse 3,Aisle 4,150,29.99,Supplier B,Low Stock,NaN
1646, widget a ,ELECTRONICS,Warehouse 1,Aisle 2,NaN,49.99,Supplier A,In Stock,15/01/2023
1020, gadget z ,TOYS,Warehouse 3,Aisle 4,300,19.99,Supplier D,In Stock,20/12/2022
1840, gadget x ,ELECTRONICS,Warehouse 2,Aisle 3,150,49.99,Supplier C,In Stock,25/04/2023
1166, gadget y ,FURNITURE,Warehouse 2,Aisle 3,50,29.99,Supplier C,In Stock,NaN
1273, gadget z ,TOYS,Warehouse 1,Aisle 3,300,NaN,Supplier A,In Stock,25/04/2023
1387, gadget z ,TOYS,Warehouse 2,Aisle 3,NaN,29.99,Supplier C,Low Stock,NaN
1600, widget c ,CLOTHING,Warehouse 2,Aisle 1,NaN,29.99,Supplier D,Low Stock,20/12/2022
1315, widget a ,TOYS,Warehouse 3,Aisle 1,100,49.99,Supplier B,In Stock,15/01/2023
1013, widget a ,TOYS,Warehouse 2,Aisle 5,50,19.99,Supplier C,Low Stock,25/04/2023
1241, gadget y ,FURNITURE,Warehouse 1,Aisle 2,300,29.99,Supplier D,Low Stock,NaN
1776, gadget y ,TOYS,Warehouse 3,Aisle 4,300,49.99,Supplier C,Out of Stock,05/03/2023
1345, gadget z ,FURNITURE,Warehouse 3,Aisle 4,two hundred,19.99,Supplier A,In Stock,20/12/2022
1564, widget b ,FURNITURE,Warehouse 1,Aisle 1,100,NaN,Supplier C,Low Stock,15/01/2023
1897, widget c ,FURNITURE,Warehouse 3,Aisle 4,100,NaN,Supplier C,Low Stock,20/12/2022
1339, widget c ,FURNITURE,Warehouse 3,Aisle 1,300,9.99,Supplier B,In Stock,05/03/2023
1091, gadget z ,ELECTRONICS,Warehouse 1,Aisle 5,300,49.99,Supplier A,Out of Stock,15/01/2023
1366, gadget x ,CLOTHING,Warehouse 3,Aisle 2,150,19.99,Supplier A,In Stock,05/03/2023
1955, widget b ,ELECTRONICS,Warehouse 1,Aisle 5,150,29.99,Supplier B,Out of Stock,20/12/2022
1454, gadget z ,TOYS,Warehouse 1,Aisle 3,150,NaN,Supplier C,In Stock,NaN
1427, widget b ,ELECTRONICS,Warehouse 2,Aisle 3,100,19.99,Supplier D,In Stock,20/12/2022
1508, widget b ,ELECTRONICS,Warehouse 2,Aisle 3,two hundred,49.99,Supplier A,In Stock,20/12/2022
1775, widget b ,TOYS,Warehouse 3,Aisle 5,NaN,9.99,Supplier A,In Stock,20/12/2022
1942, gadget z ,TOYS,Warehouse 3,Aisle 4,150,NaN,Supplier C,Out of Stock,25/04/2023
1034, widget c ,TOYS,Warehouse 1,Aisle 2,two hundred,19.99,Supplier C,Out of Stock,05/03/2023
1205, widget c ,ELECTRONICS,Warehouse 3,Aisle 3,50,19.99,Supplier A,Low Stock,05/03/2023
1080, widget b ,ELECTRONICS,Warehouse 1,Aisle 3,150,19.99,Supplier C,In Stock,05/03/2023
1931, gadget x ,TOYS,Warehouse 1,Aisle 3,NaN,49.99,Supplier D,Out of Stock,25/04/2023
1561, widget a ,CLOTHING,Warehouse 3,Aisle 2,50,49.99,Supplier A,Out of Stock,NaN
1871, gadget z ,CLOTHING,Warehouse 1,Aisle 3,50,49.99,Supplier D,Out of Stock,20/12/2022
1387, widget a ,FURNITURE,Warehouse 2,Aisle 2,NaN,29.99,Supplier D,In Stock,NaN
1001, gadget x ,TOYS,Warehouse 3,Aisle 3,150,19.99,Supplier C,Low Stock,25/04/2023
1389, gadget z ,FURNITURE,Warehouse 2,Aisle 5,100,NaN,Supplier D,Out of Stock,05/03/2023
1565, widget b ,CLOTHING,Warehouse 3,Aisle 5,NaN,49.99,Supplier C,In Stock,20/12/2022
1105, widget c ,FURNITURE,Warehouse 1,Aisle 2,NaN,49.99,Supplier B,Out of Stock,15/01/2023
1771, widget a ,TOYS,Warehouse 3,Aisle 5,NaN,19.99,Supplier C,Out of Stock,15/01/2023
1821, gadget y ,TOYS,Warehouse 2,Aisle 2,50,49.99,Supplier D,Low Stock,NaN
1476, gadget y ,TOYS,Warehouse 1,Aisle 5,two hundred,29.99,Supplier B,Out of Stock,05/03/2023
1702, gadget x ,ELECTRONICS,Warehouse 3,Aisle 5,100,29.99,Supplier C,Out of Stock,15/01/2023
1401, widget b ,FURNITURE,Warehouse 3,Aisle 2,150,49.99,Supplier D,In Stock,NaN
1729, widget a ,CLOTHING,Warehouse 3,Aisle 4,150,19.99,Supplier A,In Stock,25/04/2023
1555, widget b ,CLOTHING,Warehouse 2,Aisle 5,two hundred,19.99,Supplier A,Low Stock,NaN
1161, widget a ,CLOTHING,Warehouse 2,Aisle 3,NaN,19.99,Supplier C,In Stock,NaN
1201, gadget x ,ELECTRONICS,Warehouse 3,Aisle 4,100,9.99,Supplier C,In Stock,NaN
1957, gadget x ,ELECTRONICS,Warehouse 1,Aisle 2,150,49.99,Supplier A,Low Stock,20/12/2022
1995, gadget y ,TOYS,Warehouse 1,Aisle 4,300,19.99,Supplier D,Out of Stock,NaN
1269, widget b ,CLOTHING,Warehouse 2,Aisle 1,150,29.99,Supplier D,Low Stock,NaN
1862, gadget z ,ELECTRONICS,Warehouse 1,Aisle 1,NaN,NaN,Supplier D,In Stock,20/12/2022
1815, gadget y ,TOYS,Warehouse 2,Aisle 5,300,NaN,Supplier C,Low Stock,20/12/2022
1270, widget b ,CLOTHING,Warehouse 3,Aisle 5,two hundred,19.99,Supplier B,Out of Stock,25/04/2023
1455, gadget y ,FURNITURE,Warehouse 2,Aisle 3,100,NaN,Supplier B,Low Stock,05/03/2023
1461, gadget z ,TOYS,Warehouse 2,Aisle 4,two hundred,NaN,Supplier B,In Stock,15/01/2023
1726, widget c ,ELECTRONICS,Warehouse 3,Aisle 1,two hundred,9.99,Supplier B,In Stock,15/01/2023
1251, widget c ,ELECTRONICS,Warehouse 1,Aisle 5,100,29.99,Supplier B,Low Stock,NaN
1701, widget c ,TOYS,Warehouse 2,Aisle 4,100,29.99,Supplier C,Out of Stock,25/04/2023
1295, widget c ,TOYS,Warehouse 2,Aisle 5,150,9.99,Supplier C,Low Stock,NaN
1724, widget a ,ELECTRONICS,Warehouse 3,Aisle 5,150,9.99,Supplier B,Out of Stock,15/01/2023
1719, widget c ,FURNITURE,Warehouse 1,Aisle 1,100,NaN,Supplier C,Out of Stock,20/12/2022
1748, gadget z ,CLOTHING,Warehouse 2,Aisle 1,300,49.99,Supplier C,Low Stock,05/03/2023
1337, gadget x ,FURNITURE,Warehouse 3,Aisle 5,50,NaN,Supplier B,Out of Stock,25/04/2023
1878, gadget x ,TOYS,Warehouse 2,Aisle 2,150,9.99,Supplier D,In Stock,20/12/2022
1052, widget a ,FURNITURE,Warehouse 3,Aisle 5,50,29.99,Supplier C,Low Stock,05/03/2023
1791, widget c ,ELECTRONICS,Warehouse 1,Aisle 5,300,NaN,Supplier D,Out of Stock,25/04/2023
1921, widget c ,TOYS,Warehouse 1,Aisle 3,100,49.99,Supplier C,In Stock,25/04/2023
1216, widget c ,CLOTHING,Warehouse 1,Aisle 3,300,NaN,Supplier C,Low Stock,15/01/2023
1763, gadget y ,ELECTRONICS,Warehouse 1,Aisle 3,150,19.99,Supplier B,In Stock,20/12/2022
1187, widget b ,ELECTRONICS,Warehouse 2,Aisle 2,two hundred,NaN,Supplier C,In Stock,25/04/2023
1379, gadget y ,CLOTHING,Warehouse 2,Aisle 2,100,9.99,Supplier A,In Stock,25/04/2023
1492, widget b ,CLOTHING,Warehouse 1,Aisle 5,NaN,29.99,Supplier A,Out of Stock,05/03/2023
1040, widget c ,FURNITURE,Warehouse 1,Aisle 3,50,29.99,Supplier B,Low Stock,15/01/2023
1156, widget c ,TOYS,Warehouse 1,Aisle 2,300,9.99,Supplier D,Low Stock,NaN
1014, gadget y ,CLOTHING,Warehouse 2,Aisle 1,100,19.99,Supplier D,Out of Stock,15/01/2023
1812, gadget y ,CLOTHING,Warehouse 1,Aisle 5,300,9.99,Supplier D,Low Stock,NaN
1064, widget b ,TOYS,Warehouse 1,Aisle 4,100,NaN,Supplier A,In Stock,20/12/2022
1856, gadget x ,CLOTHING,Warehouse 1,Aisle 5,150,9.99,Supplier D,Low Stock,20/12/2022
1838, widget b ,CLOTHING,Warehouse 3,Aisle 4,150,9.99,Supplier D,Out of Stock,25/04/2023
1520, gadget y ,FURNITURE,Warehouse 1,Aisle 3,150,19.99,Supplier B,In Stock,20/12/2022
1343, gadget z ,ELECTRONICS,Warehouse 3,Aisle 4,300,NaN,Supplier D,Out of Stock,25/04/2023
1128, gadget y ,ELECTRONICS,Warehouse 3,Aisle 3,NaN,49.99,Supplier A,In Stock,15/01/2023
1647, gadget z ,ELECTRONICS,Warehouse 1,Aisle 1,150,49.99,Supplier A,In Stock,20/12/2022
1471, widget a ,ELECTRONICS,Warehouse 3,Aisle 4,100,29.99,Supplier A,Low Stock,15/01/2023
1062, gadget y ,CLOTHING,Warehouse 1,Aisle 5,150,9.99,Supplier B,In Stock,15/01/2023
1138, widget a ,TOYS,Warehouse 2,Aisle 3,two hundred,29.99,Supplier B,Out of Stock,20/12/2022
1498, gadget x ,TOYS,Warehouse 2,Aisle 5,150,19.99,Supplier C,Low Stock,15/01/2023
1592, widget b ,FURNITURE,Warehouse 2,Aisle 2,300,49.99,Supplier D,Out of Stock,20/12/2022
1391, gadget z ,FURNITURE,Warehouse 2,Aisle 3,NaN,9.99,Supplier B,In Stock,20/12/2022
1674, widget b ,CLOTHING,Warehouse 3,Aisle 4,two hundred,19.99,Supplier A,Out of Stock,20/12/2022
1418, widget a ,TOYS,Warehouse 1,Aisle 3,300,19.99,Supplier A,Out of Stock,NaN
1288, gadget z ,TOYS,Warehouse 1,Aisle 5,300,9.99,Supplier B,In Stock,15/01/2023
1378, widget b ,ELECTRONICS,Warehouse 1,Aisle 1,300,19.99,Supplier B,Low Stock,05/03/2023
1772, gadget y ,CLOTHING,Warehouse 2,Aisle 3,100,9.99,Supplier B,Out of Stock,20/12/2022
1489, widget c ,CLOTHING,Warehouse 2,Aisle 4,300,9.99,Supplier C,In Stock,15/01/2023
1230, widget a ,ELECTRONICS,Warehouse 1,Aisle 2,100,NaN,Supplier A,Low Stock,25/04/2023
1040, widget b ,CLOTHING,Warehouse 2,Aisle 1,300,29.99,Supplier C,Low Stock,20/12/2022
1027, widget a ,CLOTHING,Warehouse 1,Aisle 2,50,19.99,Supplier C,Low Stock,20/12/2022
1134, widget a ,FURNITURE,Warehouse 1,Aisle 3,two hundred,19.99,Supplier D,Out of Stock,05/03/2023
1200, gadget z ,TOYS,Warehouse 1,Aisle 5,50,NaN,Supplier A,Out of Stock,NaN
1839, gadget z ,CLOTHING,Warehouse 1,Aisle 5,300,NaN,Supplier A,Out of Stock,NaN
1779, widget c ,FURNITURE,Warehouse 1,Aisle 4,two hundred,NaN,Supplier B,Low Stock,20/12/2022
1929, gadget y ,TOYS,Warehouse 1,Aisle 5,two hundred,49.99,Supplier B,Out of Stock,15/01/2023
1032, widget a ,ELECTRONICS,Warehouse 1,Aisle 1,NaN,49.99,Supplier D,In Stock,25/04/2023
1047, widget b ,FURNITURE,Warehouse 2,Aisle 5,50,49.99,Supplier C,Out of Stock,25/04/2023
1502, gadget x ,FURNITURE,Warehouse 1,Aisle 4,NaN,9.99,Supplier B,Out of Stock,15/01/2023
1406, widget a ,TOYS,Warehouse 1,Aisle 3,two hundred,19.99,Supplier B,Low Stock,20/12/2022
1573, widget a ,ELECTRONICS,Warehouse 2,Aisle 3,100,29.99,Supplier A,Out of Stock,25/04/2023
1727, widget c ,FURNITURE,Warehouse 2,Aisle 5,two hundred,9.99,Supplier A,In Stock,NaN
1804, gadget y ,CLOTHING,Warehouse 2,Aisle 2,NaN,19.99,Supplier B,Low Stock,15/01/2023
1098, gadget x ,CLOTHING,Warehouse 1,Aisle 3,50,19.99,Supplier A,In Stock,05/03/2023
1683, gadget z ,CLOTHING,Warehouse 3,Aisle 5,300,NaN,Supplier D,Low Stock,20/12/2022
1871, gadget z ,ELECTRONICS,Warehouse 3,Aisle 4,300,NaN,Supplier B,Low Stock,15/01/2023
1725, widget b ,FURNITURE,Warehouse 2,Aisle 5,50,9.99,Supplier A,Out of Stock,25/04/2023
1986, gadget x ,CLOTHING,Warehouse 3,Aisle 3,300,NaN,Supplier D,In Stock,20/12/2022
1546, gadget z ,ELECTRONICS,Warehouse 2,Aisle 4,300,19.99,Supplier A,Low Stock,NaN
1960, widget b ,CLOTHING,Warehouse 1,Aisle 5,NaN,NaN,Supplier A,Out of Stock,20/12/2022
1738, gadget y ,TOYS,Warehouse 3,Aisle 1,50,49.99,Supplier A,Low Stock,20/12/2022
1612, widget b ,FURNITURE,Warehouse 1,Aisle 4,150,NaN,Supplier B,Low Stock,NaN
1942, gadget z ,FURNITURE,Warehouse 3,Aisle 1,100,19.99,Supplier C,Low Stock,NaN
1461, widget c ,ELECTRONICS,Warehouse 1,Aisle 2,100,9.99,Supplier A,Low Stock,20/12/2022
1642, widget c ,ELECTRONICS,Warehouse 3,Aisle 4,300,29.99,Supplier D,Low Stock,NaN
1768, widget c ,FURNITURE,Warehouse 1,Aisle 1,100,NaN,Supplier B,Low Stock,15/01/2023
1004, gadget z ,CLOTHING,Warehouse 1,Aisle 3,50,19.99,Supplier B,Out of Stock,NaN
1217, widget c ,CLOTHING,Warehouse 3,Aisle 3,50,29.99,Supplier D,Low Stock,NaN
1502, gadget x ,TOYS,Warehouse 1,Aisle 2,two hundred,29.99,Supplier A,In Stock,20/12/2022
1766, gadget y ,CLOTHING,Warehouse 1,Aisle 4,two hundred,49.99,Supplier C,Out of Stock,15/01/2023
1397, widget b ,ELECTRONICS,Warehouse 1,Aisle 4,100,29.99,Supplier A,In Stock,05/03/2023
1870, widget b ,ELECTRONICS,Warehouse 3,Aisle 4,150,19.99,Supplier D,Low Stock,05/03/2023
1794, gadget z ,CLOTHING,Warehouse 3,Aisle 2,two hundred,19.99,Supplier B,In Stock,25/04/2023
1392, widget c ,ELECTRONICS,Warehouse 1,Aisle 4,two hundred,NaN,Supplier C,Low Stock,NaN
1206, widget c ,FURNITURE,Warehouse 1,Aisle 3,50,NaN,Supplier B,Low Stock,NaN
1014, widget a ,FURNITURE,Warehouse 3,Aisle 1,150,NaN,Supplier D,Out of Stock,15/01/2023
1857, gadget y ,CLOTHING,Warehouse 3,Aisle 3,300,29.99,Supplier A,Out of Stock,05/03/2023
1553, gadget x ,FURNITURE,Warehouse 1,Aisle 3,100,29.99,Supplier C,Low Stock,25/04/2023
1891, widget b ,FURNITURE,Warehouse 1,Aisle 1,two hundred,49.99,Supplier B,Out of Stock,15/01/2023
1460, widget a ,TOYS,Warehouse 1,Aisle 3,150,NaN,Supplier B,In Stock,NaN
1690, widget a ,TOYS,Warehouse 2,Aisle 2,150,9.99,Supplier B,Out of Stock,05/03/2023
1574, gadget z ,FURNITURE,Warehouse 3,Aisle 1,100,49.99,Supplier A,Out of Stock,25/04/2023
1863, widget b ,CLOTHING,Warehouse 2,Aisle 3,150,9.99,Supplier C,In Stock,20/12/2022
1742, gadget z ,TOYS,Warehouse 3,Aisle 5,150,29.99,Supplier A,Out of Stock,05/03/2023
1240, gadget x ,ELECTRONICS,Warehouse 3,Aisle 3,150,49.99,Supplier A,Low Stock,25/04/2023
